X_WGS84,Y_WGS84,Rana_AllData_Full logistic values
-6.2281289375,38.6478620677,0.008646931
-5.0816503719,38.8944367622,0.008646931
1.2547025577,42.4412965545,0.0
-4.9529660688,38.7295077502,0.008646931
2.6523583847,42.1759332625,0.13907015
-3.23978245,37.9883970183,0.0043998105
-5.7353124897,37.7842523103,0.008646931
-7.5619772183,38.7224480643,0.13907015
-8.0325519941,37.3792082025,0.011899248
-1.1056785485,39.0862783793,0.13907015
0.1303024282,38.7741572421,0.13907015
2.3329695498,42.08650793,0.0
-6.1117993844,38.2840459606,0.008646931
-0.6226811632,40.1122441092,0.13907015
-2.9804357341,41.6646389715,0.13907015
-4.7551639345,42.0524657219,0.24174863
-2.4775507722,41.5518301797,0.13907015
-3.2267415506,41.8141967322,0.13907015
-4.4519674446,42.434784012,0.24174863
-0.3391836476,39.4526337696,0.13907015
0.44812207,41.2807985782,0.13907015
-0.9101143048,39.2213629282,0.13907015
-1.0213946043,40.4331173182,0.13907015
0.9321235255,41.5555642444,0.13907015
-1.1629878338,38.378061995,0.13907015
-1.5566933975,40.8993989008,0.13907015
-5.5463328533,42.1262745306,0.24174863
-3.8233139844,42.121490964,0.24174863
-1.612918581,43.244092838,0.3109266
-6.8001537897,37.8549293513,0.008646931
-7.9023232296,37.431727277,0.011899248
-2.4126716697,40.7192258088,0.13907015
-1.1926120988,39.0445381703,0.13907015
-6.0106312849,38.8681444487,0.008646931
-4.0301687039,37.5095158545,0.008646931
-5.4453296986,37.1085094405,0.0043998105
-5.5500636381,39.0543518754,0.008646931
-2.6852052356,39.3864970827,0.13907015
-2.0472891286,42.6714513652,0.4070196
-3.0525102621,37.9069203746,0.24174863
1.3648786414,42.4914774209,0.0
-4.9463890901,42.1716508066,0.24174863
-1.5604070467,40.8536103765,0.13907015
-6.0841680538,38.5408148966,0.008646931
-0.4079998978,42.6090373682,0.0
-4.7773634929,37.5397495586,0.0043998105
-3.3244054898,38.0279324412,0.0043998105
-2.2857909379,40.2531611378,0.24174863
-1.3387852195,41.2990989471,0.13907015
-6.6634269798,40.9050700945,0.4070196
2.1735173673,41.9760480109,0.0
-5.5187838393,41.578947509,0.24174863
-8.7252299841,38.931624534,0.7835679
-1.1174642956,40.7511072078,0.13907015
-7.7904469472,38.8051622006,0.24174863
-4.0884168932,37.9445801751,0.0043998105
-7.6164826451,37.1798402062,0.011899248
-0.869163809,40.57172898,0.24174863
-6.403711323,36.9883351289,0.0043998105
-1.7385642008,40.7465089386,0.13907015
0.7361491651,40.8444864829,0.13907015
-5.3395659749,36.563109737,0.86726326
-2.8837414646,42.607929252,0.24174863
0.3237203873,41.0481690429,0.13907015
-1.042669956,39.8321377563,0.13907015
-2.0642384072,40.2131082685,0.24174863
-8.2735598085,37.7809309964,0.011899248
-2.7714561732,38.2039361093,0.13907015
-4.1399892161,36.7907027504,0.0043998105
-1.5923941358,40.4920627473,0.24174863
-5.7598525896,41.7401958092,0.24174863
-1.7289747052,38.8328580004,0.13907015
-3.8155274881,39.5414929753,0.13907015
-2.7444553257,37.4035571147,0.24174863
-2.5527055125,37.5170582738,0.13907015
-8.0662818388,38.3050849213,0.011899248
-3.069110917,38.9992328053,0.13907015
0.0972782107,42.6034888049,0.0
-3.7864299511,40.3597079685,0.24174863
-0.9633850421,38.05932474,0.3056449
-2.1830109099,38.2554009854,0.13907015
-0.684244378,38.43505972,0.13907015
-1.3878395606,37.5366533656,0.0043998105
-2.3684807228,37.4126594801,0.13907015
-4.3191158025,38.3739319885,0.008646931
-1.5854126919,42.4455948048,0.24174863
-0.8933289105,37.9749778122,0.3056449
-4.7101755153,37.4284986667,0.0043998105
0.0901437001,40.2282740751,0.13907015
-8.3143893258,37.8683458647,0.011899248
-3.9466574041,40.2497022285,0.24174863
-8.2941132626,38.5490319973,0.011899248
-1.7006732678,41.0657476056,0.13907015
-6.2229438674,38.9180399624,0.008646931
-3.8151956489,39.4471008239,0.13907015
-0.6691401809,40.4935876845,0.24174863
1.1187491867,41.9516510424,0.13907015
-2.1732738254,39.5821675389,0.13907015
-1.6991747631,42.9178143689,0.057905637
-2.2850504978,39.9785469379,0.13907015
-4.4768276559,37.3992550312,0.008646931
-3.5106181734,39.0126901531,0.13907015
-2.198812009,38.0929613685,0.24174863
-1.8260447025,38.3404236308,0.13907015
-0.4806441031,42.5283047237,0.13907015
-2.4567929013,41.1841646226,0.13907015
-3.9423694858,41.746021758,0.24174863
-3.2926054512,37.3763388602,0.24174863
-2.9632183094,40.3716542263,0.24174863
-2.5406591017,41.3351143824,0.13907015
-3.4527216851,37.0976689778,0.4070196
-5.8034625062,41.1217294242,0.24174863
1.2929885164,41.8637433843,0.13907015
-0.196021331,42.0536180629,0.13907015
-3.1242037049,39.6214801843,0.13907015
-5.6225374797,38.56745901,0.008646931
2.2669966923,42.0300115148,0.0
-1.4368875372,40.253584312,0.13907015
-4.9384078738,37.6552329402,0.0043998105
-5.3678558735,36.8477504365,0.67282605
-6.485769367,37.6277969536,0.0043998105
-2.09891998,38.3815641782,0.13907015
-2.4021748549,41.9361790606,0.13907015
-5.1758627617,37.086157121,0.67282605
-1.4107515421,41.9957212407,0.13907015
-6.5714471765,38.0918322497,0.24174863
-4.8946443958,38.0987467536,0.008646931
-5.3811138417,41.9731628855,0.24174863
-5.1202583856,41.4151525899,0.24174863
-5.2542005897,37.0755277477,0.67282605
-6.5496272268,38.7797886611,0.008646931
-3.5764793732,37.343248522,0.008646931
-1.8193070787,41.1620608501,0.13907015
-3.6627081045,37.1517422563,0.008646931
-3.0746565589,37.1491105722,0.88475555
-1.7582764219,38.1668511745,0.13907015
-8.2078839443,38.0339340121,0.011899248
-5.7806909104,37.416661647,0.0043998105
-2.2331998063,42.5729067579,0.13907015
-7.953117789,38.3125546656,0.011899248
-1.0814559084,42.6240885615,0.4070196
0.4757126417,42.5614281949,0.0
-5.5591791004,37.1160408315,0.0043998105
0.6465424727,41.8300985816,0.13907015
-3.8950083376,42.1184364167,0.24174863
-3.9520180944,37.704635051,0.008646931
-0.1410404083,41.5300933701,0.13907015
-1.7513239164,42.1205266598,0.13907015
-3.9264798928,40.0775034512,0.13907015
-3.9102621215,36.765275636,0.0043998105
-0.5121991517,40.3228967789,0.13907015
-0.8381017566,40.724438869,0.13907015
-6.0610940967,38.4915080315,0.008646931
-1.4804332567,40.7653363972,0.13907015
-6.2772895786,36.7157210667,0.2605619
-3.009141125,38.7083012525,0.13907015
-3.9904986565,41.7441368581,0.24174863
-3.2586186668,42.3126054627,0.24174863
-2.3960928222,42.0129522741,0.13907015
-2.62130632,41.4369762269,0.13907015
-0.5021934411,39.2285442705,0.13907015
-4.802291947,41.6359511199,0.4070196
-7.4012893477,37.4556255058,0.0043998105
-3.9587306631,36.9485991091,0.018432237
3.0940553869,42.3464617563,0.13907015
-1.479383128,37.6479983006,0.13907015
-2.7144562307,40.7646182566,0.24174863
-5.8145022745,39.3461046346,0.008646931
-1.2336228893,39.6669569577,0.13907015
1.3730309868,41.278212398,0.13907015
-3.9783493863,38.0089345625,0.0043998105
-6.7052281512,39.244136111,0.24174863
-6.2490925412,37.2608207154,0.0043998105
-1.9729183375,40.8152347461,0.13907015
